Date,Open,High,Low,Close,Adj Close,Volume
2016-11-01,68.529999,68.900002,66.330002,66.889999,65.272598,6047400
2016-11-02,67.089996,68.949997,66.919998,68.660004,66.999794,4877800
2016-11-03,69.010002,69.550003,65.019997,65.379997,63.799099,5542100
2016-11-04,65.580002,66.010002,64.769997,65.169998,63.594177,5803600
2016-11-07,66.230003,66.389999,65.379997,66.000000,64.404114,3356900
2016-11-08,64.459999,65.639999,62.700001,65.349998,63.769829,5771100
2016-11-09,68.529999,71.720001,65.720001,69.250000,67.575531,6758500
2016-11-10,69.760002,71.970001,69.760002,71.720001,69.985802,5995300
2016-11-11,71.419998,71.860001,70.389999,71.370003,69.644272,3162400
2016-11-14,71.449997,72.809998,71.160004,72.349998,70.600571,3133600
2016-11-15,72.529999,72.820000,71.199997,71.389999,69.663788,4890400
2016-11-16,71.129997,71.959999,70.669998,70.830002,69.117325,2360400
2016-11-17,71.190002,72.089996,70.989998,71.639999,69.907745,2355800
2016-11-18,71.529999,71.589996,70.650002,70.769997,69.058777,2653000
2016-11-21,70.849998,71.169998,69.949997,70.250000,68.551361,3712800
2016-11-22,70.160004,70.410004,69.349998,70.129997,68.434242,2747600
2016-11-23,69.790001,70.580002,69.639999,70.550003,68.844093,1806400
2016-11-25,70.959999,71.839996,70.370003,71.110001,69.390556,1035100
2016-11-28,71.330002,71.949997,70.900002,71.570000,69.839432,3038700
2016-11-29,71.510002,71.779999,70.440002,70.989998,69.273445,4099200
2016-11-30,71.019997,71.570000,70.769997,71.010002,69.292969,4885600
2016-12-01,70.940002,71.889999,70.660004,70.930000,69.214905,3332200
2016-12-02,71.190002,71.680000,70.739998,70.830002,69.117325,2362700
2016-12-05,70.959999,72.150002,70.739998,72.099998,70.356613,3302600
2016-12-06,72.010002,72.160004,70.720001,71.419998,69.693062,2726200
2016-12-07,70.199997,70.629997,68.599998,70.500000,68.795303,5534500
2016-12-08,70.570000,71.370003,70.059998,71.110001,69.390556,2362300
2016-12-09,71.129997,73.290001,71.099998,73.040001,71.273888,3048200
2016-12-12,72.900002,73.699997,72.620003,73.480003,71.703255,2447600
2016-12-13,73.610001,74.089996,73.250000,73.750000,71.966721,2548900
2016-12-14,73.739998,73.930000,72.129997,72.470001,70.717667,2523700
2016-12-15,72.500000,73.209999,71.970001,73.000000,71.234856,3210000
2016-12-16,73.290001,73.870003,72.949997,73.760002,71.976479,3700300
2016-12-19,73.769997,74.320000,73.110001,73.699997,71.917923,2936500
2016-12-20,73.870003,74.279999,72.970001,73.349998,71.576385,2397300
2016-12-21,72.489998,72.980003,71.820000,72.620003,70.864052,3206800
2016-12-22,72.660004,72.989998,71.870003,72.110001,70.366379,1612600
2016-12-23,72.360001,73.400002,72.099998,72.879997,71.117752,988400
2016-12-27,72.919998,73.650002,72.889999,73.070000,71.303162,1500900
2016-12-28,73.129997,73.690002,72.519997,72.550003,70.795738,1514800
2016-12-29,72.309998,73.150002,72.230003,72.349998,71.040222,1722100
2016-12-30,72.330002,72.610001,71.720001,71.970001,70.667107,1613100
2017-01-03,71.989998,74.750000,71.900002,74.480003,73.131668,4459400
2017-01-04,74.500000,75.690002,74.500000,75.629997,74.260841,2461500
2017-01-05,75.330002,75.589996,74.309998,74.500000,73.151306,1921000
2017-01-06,74.620003,75.410004,74.169998,75.330002,73.966278,2306900
2017-01-09,75.029999,75.599998,74.750000,74.760002,73.406601,1985600
2017-01-10,74.580002,75.970001,74.519997,75.220001,73.858269,2420400
2017-01-11,75.150002,75.629997,72.849998,73.720001,72.385429,3049400
2017-01-12,73.400002,74.269997,73.290001,74.190002,72.846916,1998600
2017-01-13,74.480003,75.139999,74.260002,75.000000,73.642250,1443700
2017-01-17,74.610001,75.860001,74.370003,75.180000,73.818993,1522300
2017-01-18,75.650002,75.849998,75.029999,75.800003,74.427773,1768600
2017-01-19,75.599998,75.760002,75.250000,75.550003,74.182304,2240100
2017-01-20,75.550003,75.779999,74.930000,75.029999,73.671707,2389700
2017-01-23,74.900002,75.120003,74.269997,74.720001,73.367325,2180900
2017-01-24,74.769997,74.849998,74.300003,74.650002,73.298592,1060600
2017-01-25,75.010002,75.959999,74.669998,75.870003,74.496506,1556700
2017-01-26,73.339996,74.139999,72.430000,73.089996,71.766830,3866300
2017-01-27,73.580002,73.580002,71.989998,72.470001,71.158058,3023700
2017-01-30,72.529999,73.309998,72.110001,73.190002,71.865013,1645500
2017-01-31,73.889999,75.050003,72.879997,74.959999,73.602974,3543400
2017-02-01,74.430000,75.389999,74.160004,75.349998,73.985909,2569300
2017-02-02,74.910004,75.199997,73.790001,74.440002,73.092400,2428300
2017-02-03,74.690002,75.089996,74.410004,74.870003,73.514610,1581000
2017-02-06,74.849998,76.059998,74.849998,75.970001,74.594688,2951800
2017-02-07,75.500000,79.690002,75.000000,77.760002,76.352287,6390700
2017-02-08,77.400002,77.849998,76.669998,77.809998,76.401382,2465000
2017-02-09,77.809998,77.900002,77.040001,77.449997,76.047897,2053600
2017-02-10,77.500000,77.730003,76.779999,77.400002,75.998810,1688200
2017-02-13,77.809998,78.400002,77.250000,78.070000,76.656677,1522800
2017-02-14,77.589996,79.050003,77.379997,78.879997,77.452011,1705200
2017-02-15,78.970001,80.489998,78.010002,80.419998,78.964127,2732600
2017-02-16,80.250000,80.480003,79.230003,80.239998,78.787392,1802000
2017-02-17,80.000000,80.779999,79.559998,80.709999,79.248886,2499000
2017-02-21,80.500000,81.510002,80.279999,81.339996,79.867477,2170300
2017-02-22,81.190002,81.570000,80.870003,81.080002,79.612190,1545300
2017-02-23,81.300003,81.849998,80.919998,81.730003,80.250427,1795400
2017-02-24,81.540001,82.150002,80.910004,82.139999,80.652992,1331500
2017-02-27,82.139999,82.620003,81.900002,82.489998,80.996658,1400600
2017-02-28,82.010002,82.320000,81.290001,81.370003,79.896935,1938800
2017-03-01,82.180000,82.510002,81.720001,82.050003,80.564629,1919700
2017-03-02,81.930000,82.500000,81.580002,81.790001,80.309334,2065300
2017-03-03,82.239998,83.000000,81.730003,82.849998,81.350143,1886600
2017-03-06,82.449997,82.839996,81.680000,81.699997,80.220955,2330500
2017-03-07,81.089996,81.589996,80.769997,81.209999,79.739838,2144400
2017-03-08,81.300003,81.940002,81.139999,81.199997,79.730003,2634000
2017-03-09,81.470001,82.110001,81.120003,81.940002,80.456619,2018500
2017-03-10,82.279999,82.419998,81.769997,82.040001,80.554810,1714400
2017-03-13,82.139999,82.699997,81.709999,82.550003,81.055580,1690000
2017-03-14,82.250000,84.879997,81.860001,82.599998,81.104668,1704300
2017-03-15,82.730003,84.129997,82.660004,83.800003,82.282944,3092000
2017-03-16,83.690002,83.739998,82.449997,82.830002,81.330505,1985900
2017-03-17,83.040001,83.220001,82.510002,83.110001,81.605438,2624400
2017-03-20,83.150002,83.180000,82.199997,82.370003,80.878830,1169200
2017-03-21,82.419998,82.879997,81.239998,81.449997,79.975487,1344000
2017-03-22,81.739998,81.860001,81.070000,81.639999,80.162041,1209500
2017-03-23,81.620003,82.050003,80.970001,81.099998,79.631828,1397100
2017-03-24,81.099998,81.580002,80.830002,81.230003,79.759483,1700600
2017-03-27,80.930000,82.309998,80.889999,82.250000,80.761009,1368700
2017-03-28,81.949997,82.290001,81.610001,82.199997,80.711906,1406700
2017-03-29,82.239998,82.239998,81.470001,82.050003,80.564629,1521800
