Date,Open,High,Low,Close,Adj Close,Volume
3/7/2008,37.599998,39.720001,35.240002,36.549999,35.416862,1555100
3/10/2008,36.860001,37.209999,33.709999,33.950001,32.897472,735700
3/11/2008,35.419998,36.650002,34.759998,36.490002,35.358727,727100
3/12/2008,36.5,40,35.959999,38.830002,37.626186,1288200
3/13/2008,37.450001,39,35.560001,38.599998,37.403309,1311400
3/14/2008,39.23,40,37.119999,38.240002,37.054478,789800
3/17/2008,36.029999,37.779999,35.139999,35.150002,34.060268,954700
3/18/2008,36.560001,37.75,35.790001,37.23,36.075783,704900
3/19/2008,37.43,38.889999,36.259998,36.349998,35.223068,719600
3/20/2008,37.080002,37.5,35.740002,36.349998,35.223068,751400
3/24/2008,36.57,39.75,36.57,38.5,37.306423,798300
3/25/2008,39.080002,40.939999,37.34,40.450001,39.19595,1434200
3/26/2008,41.57,42.580002,39.830002,41.549999,40.261864,1917100
3/27/2008,41.709999,41.720001,38.75,38.889999,37.684326,1013300
3/28/2008,39.470001,39.75,36.889999,37.040001,35.891678,596500
3/31/2008,37.32,40.389999,36.639999,39.759998,38.527344,1572400
4/1/2008,40.52,40.82,38.57,40.82,39.554482,1222000
4/2/2008,40.110001,40.369999,39,39.209999,37.994392,515700
4/3/2008,38.950001,39.790001,38.25,39.639999,38.411079,578500
4/4/2008,39.849998,43.549999,39.25,43.220001,41.880085,2068800
4/7/2008,44.110001,44.400002,42.75,43.700001,42.3452,1195000
4/8/2008,43.419998,45.830002,42.810001,45.360001,43.953732,1485000
4/9/2008,46.720001,46.720001,43.860001,45.150002,43.750252,1125600
4/10/2008,45.049999,47.240002,43.389999,47.139999,45.678555,1378100
4/11/2008,45.650002,47.400002,45.02,46.490002,45.04871,1471000
4/14/2008,45.799999,46.790001,44.689999,44.689999,43.304512,870800
4/15/2008,45.02,46,44.599998,45.84,44.418858,648300
4/16/2008,46.900002,49.349998,46.73,48.98,47.46151,1183400
4/17/2008,48.779999,50.73,47.450001,50.02,48.469269,1123900
4/18/2008,52.400002,53.599998,50.240002,50.25,48.69215,1539700
4/21/2008,50.25,53.240002,49.5,51.84,50.232845,875200
4/22/2008,51.880001,52.98,50,50.52,48.95377,562500
4/23/2008,50.900002,51.950001,49.630001,51.400002,49.806484,449800
4/24/2008,50.939999,52.759998,48.709999,51.810001,50.203781,796600
4/25/2008,52.119999,52.490002,50.849998,51.900002,50.290981,536600
4/28/2008,52.119999,53.029999,51.169998,52,50.387875,442400
4/29/2008,52.060001,52.330002,49.529999,49.869999,48.323914,499900
4/30/2008,49.869999,51.25,48,50.580002,49.011906,1059300
5/1/2008,50.450001,51.400002,49.369999,50.25,48.69215,742900
5/2/2008,51.5,52,49.799999,49.990002,48.440208,553900
5/5/2008,50.740002,56.779999,50.23,56,54.263866,2908000
5/6/2008,56.200001,57.25,53,54.75,53.052624,1472900
5/7/2008,55.560001,57.560001,54,56.049999,54.312321,1631600
5/8/2008,56.360001,57.709999,54.27,55,53.294865,1597600
5/9/2008,54.639999,55.98,53.650002,54.02,52.345249,1059600
5/12/2008,53.799999,53.990002,50.110001,52.259998,50.639828,1473600
5/13/2008,52.59,56.560001,52.59,55.860001,54.128197,2504400
5/14/2008,50.900002,55.98,50.68,53.889999,52.219284,3763700
5/15/2008,54.650002,55.439999,54.029999,54.490002,52.800697,814300
5/16/2008,55,55.200001,53.75,54.700001,53.004181,827400
5/19/2008,54.59,55.5,52.880001,53.389999,51.734798,1018800
5/20/2008,52.18,53.720001,51.5,53.560001,51.899521,653100
5/21/2008,53,53.5,48.75,50.419998,48.85685,1475800
5/22/2008,50.330002,51.790001,44.25,44.630001,43.246372,2082500
5/23/2008,44,46.349998,40.41,45.290001,43.88591,2973900
5/27/2008,45.349998,45.349998,42.799999,43.450001,42.102947,731200
5/28/2008,44.900002,46.16,43.560001,44.900002,43.508003,843900
5/29/2008,44.599998,44.889999,43.560001,44.779999,43.391724,584200
5/30/2008,44.439999,47.32,44.439999,46.950001,45.494438,1236000
6/2/2008,47.599998,48.68,45.880001,46.330002,44.893665,721400
6/3/2008,46.34,47.77,43.889999,45.470001,44.060329,547800
6/4/2008,45.119999,47.130001,44.48,46.279999,44.845219,467700
6/5/2008,46.68,47.900002,46.5,47.880001,46.395618,610900
6/6/2008,47.470001,47.560001,44.080002,44.5,43.120396,848700
6/9/2008,44.029999,44.400002,39.650002,40.41,39.157192,1676300
6/10/2008,39,39.400002,37,38.75,37.548664,1427900
6/11/2008,39.25,39.459999,37.619999,37.860001,36.686256,596200
6/12/2008,38.5,39.189999,36.77,37.110001,35.959511,614800
6/13/2008,37.279999,38.970001,37.279999,38.279999,37.093243,497900
6/16/2008,38.060001,40.5,37.869999,39.950001,38.711468,565700
6/17/2008,40.630001,43.369999,40.610001,41.139999,39.864574,986100
6/18/2008,40.700001,40.98,39.080002,39.68,38.449829,993200
6/19/2008,39.639999,41.029999,38.610001,40.639999,39.380077,421300
6/20/2008,39.209999,40.16,38.279999,38.75,37.548664,674000
6/23/2008,38.869999,39.189999,37.049999,37.450001,36.288971,444100
6/24/2008,37.099998,38.900002,37,37.860001,36.686256,514300
6/25/2008,37.869999,39.450001,37.869999,38.799999,37.597099,372100
6/26/2008,37.029999,38.34,34.73,35.220001,34.128101,1215900
6/27/2008,35.099998,36.200001,33.130001,35.900002,34.787022,2374000
6/30/2008,35.560001,36.34,34.459999,34.490002,33.420734,575600
7/1/2008,34.080002,35.439999,32.549999,35.02,33.934311,1256700
7/2/2008,35.279999,35.830002,32.75,32.950001,31.928469,623400
7/3/2008,32.560001,32.849998,28.309999,29.52,28.604816,1149800
7/7/2008,29.530001,29.969999,26,27.469999,26.61837,2456200
