Date,Open,High,Low,Close,Adj Close,Volume
2016-11-08,56.580002,57.139999,56.110001,57.000000,55.493519,1844400
2016-11-09,56.060001,58.970001,55.720001,58.779999,57.226475,3469100
2016-11-10,58.889999,61.349998,58.830002,59.439999,57.869030,4405600
2016-11-11,59.189999,59.770000,58.820000,59.000000,57.440659,3370100
2016-11-14,58.980000,60.049999,58.910000,59.020000,57.460129,3235600
2016-11-15,59.160000,59.160000,57.459999,58.290001,56.749428,2633700
2016-11-16,58.099998,58.320000,57.029999,57.680000,56.155548,1832700
2016-11-17,58.070000,58.419998,57.810001,58.099998,56.564442,1631400
2016-11-18,58.049999,58.599998,57.520000,58.139999,56.603386,2149800
2016-11-21,58.549999,58.980000,58.320000,58.650002,57.099907,1181600
2016-11-22,58.990002,59.820000,58.810001,59.750000,58.170834,2205000
2016-11-23,59.619999,60.180000,59.419998,59.950001,58.365555,1195000
2016-11-25,60.040001,60.279999,59.730000,60.160000,58.569996,1073100
2016-11-28,60.150002,60.250000,59.470001,59.810001,58.229252,1780200
2016-11-29,59.919998,60.470001,59.580002,59.919998,58.336342,997300
2016-11-30,60.259998,61.139999,60.040001,60.889999,59.280704,2163800
2016-12-01,61.150002,62.349998,60.919998,62.070000,60.429516,2122000
2016-12-02,61.900002,62.080002,59.380001,59.709999,58.131893,3249300
2016-12-05,60.080002,60.730000,59.900002,59.980000,58.394760,1728300
2016-12-06,60.250000,60.369999,59.529999,60.349998,58.754978,1291900
2016-12-07,60.410000,61.750000,60.279999,61.709999,60.079033,2276700
2016-12-08,61.959999,62.080002,60.540001,61.570000,59.942734,1433800
2016-12-09,61.540001,61.540001,60.540001,60.810001,59.202824,1503100
2016-12-12,60.919998,61.320000,60.110001,60.750000,59.144405,1532300
2016-12-13,60.849998,61.119999,59.900002,61.060001,59.446213,2442600
2016-12-14,60.560001,60.980000,59.919998,60.000000,58.750992,2822800
2016-12-15,60.200001,60.610001,59.180000,59.830002,58.584534,3510300
2016-12-16,59.980000,60.020000,58.939999,59.169998,57.938271,3384700
2016-12-19,59.340000,59.580002,57.919998,59.230000,57.997025,1950400
2016-12-20,59.400002,60.330002,59.139999,59.790001,58.545364,2578200
2016-12-21,59.820000,59.959999,59.450001,59.709999,58.467030,2029400
2016-12-22,59.000000,59.240002,56.810001,57.840000,56.635960,2172900
2016-12-23,57.959999,58.250000,57.630001,58.180000,56.968880,1012800
